Samples,Factors,L-alanine,L-arginine,L-asparagine,L-aspartate,L-cysteine,L-glutamate,L-glutamine,glycine,L-histidine,L-leucine/L-isoleucine,L-lysine,L-methionine,L-phenylalanine,L-proline,L-serine,L-threonine,L-tryptophan,L-tyrosine,L-valine,L-cystine,AMP,dAMP,Adenosine,Adenine,GMP,Cytosine,dTMP,Uracil,IMP,Hypoxanthine,Allantoate,"3',5'-Cyclic AMP",Pyridoxal,Nicotinamide,NAD+,Glutathione,Glutathione disulfide,Cys-Gly,gamma-L-Glutamyl-D-alanine,gamma-Glutamyl-gamma-aminobutyrate,S-Adenosyl-L-homocysteine,Ornithine,Putrescine,Spermidine,Spermine,N-Glycoloyl-neuraminate,Homocarnosine,Creatine,Creatinine,Guanidinoacetate,Pantothenol,Pantetheine,Hypotaurine,L-Methionine S-oxide,5-Hydroxyindoleacetate,Indole,Indole-3-acetaldehyde,Indolepyruvate,6-Hydroxykynurenic acid,kynurenine,N-formyl kynurenine,Picolinic acid,2-Aminomuconate,8-Methoxykynurenate,L-Adrenaline,Ectoine,Ethanolamine phosphate,N-Methylethanolamine phosphate,Acetylcholine,Choline,acyl-C2 (acetyl-carnitine),acyl-C3 (propionyl-carnitine),acyl-C4 (butanoyl-l-carnitine),acyl-C4-DC,acyl-C5 (isovalerylcarnitine),acyl-C5-OH,acyl-C6 (hexanoyl-l-carnitine),acyl-C8 (L-octanoylcarnitine,acyl-C8:1 (octenoyl-l-carnitine),acyl-C10:1 (O-Decenoyl-L-carnitine),Tryptophan 13C11,Indole-Pyruvate 13C11,L-Formylkynurenine 13C11,Kynurenine 13C10
MA0-1,Growth condition:Attached | time (h):0 | treatment:none | Sample source:Breast cancer cells,6830986,2511757,209355.1,7449806,219048.1,14181840,19284010,2820082,2727932,68393240,1809147,20012320,28012290,9198369,2264009,9722377,18065400,33385800,12522550,23033.34,7646136,69238.63,387584.1,38875.61,692803,40309.96,27616.1,15144.98,1558.804,9247.591,68062.15,181867.9,119323.7,2010769,624752.6,108554500,10833050,1266743,348798.7,37400.89,74576.34,80131.27,18060.61,51919.88,49727.21,0,0,61123820,914282.9,64930.86,3945234,11549.12,386670.5,485767,765944,386031.4,48406.06,684634.9,3389.379,2422862,275631.8,943965.3,27998.13,0,40883.43,61550.86,308975.4,914505.2,1605650,21433870,4750652,1842895,5385721,228006.1,837436.2,103192.6,5949680,9798811,157935.1,214526.3,17180,1813,0,2245
MS48-3,Growth condition:Suspension | time (h):48 | treatment:none | Sample source:Breast cancer cells,360641.2,717142.8,46171.22,425374.2,29299.12,3763920,4193862,1099739,527877.5,6339656,206610.6,1549512,3338493,2018688,230781.2,872986.5,241689.7,3953424,3046576,107069.1,10289820,20231.3,590072.8,59325.63,715994.7,61271.25,13438.15,11599.96,30799.42,81711.35,27628.94,316251.6,93437.15,1856269,395995.2,25071660,6908598,292220.7,31102.58,2382.363,47469.23,31696.56,55675.08,38935.14,13309.96,0,3630.371,4791912,66005.55,30387.79,3307112,3121.819,36948.53,202095,2172.735,36350.52,1823.809,78389.02,1063.408,10919.96,896.7856,157615,18393.75,1940.688,32214.95,54015.31,464829.4,211633.5,121649.3,32919170,238068.9,74681.52,111236.3,19643.7,52487.78,30146.03,145656.4,90163.05,11585.59,3510.59,4794326,1832,9394,320488
MA72-1,Growth condition:Attached | time (h):72 | treatment:none | Sample source:Breast cancer cells,503034.8,834021,90810.79,303908.1,18335.8,3438993,3614212,1636726,675228.5,19365230,430355.7,4238947,8955835,3534159,332746.5,1512647,8188008,12528300,3225476,68923.08,7570832,33533.58,892193.8,69030.47,599561.2,24211.89,16790.86,20447.6,44421.97,82526.6,31379.48,285257.8,161841.5,1816252,565890.3,42795560,14211120,541378.8,66456.18,17366.07,103097.3,15511.13,95516.76,79741.07,142323.1,0,7097.994,13854680,146752.5,69554.27,6567898,8247.07,25006.55,644285.9,58815.27,118663.9,29639.33,320795.8,6804.93,182819.7,18602.21,391702.5,28234.72,2195.397,54074.62,56322.89,401755.7,228518.5,159296.8,38951990,370660.6,115193.6,173097.2,44503.28,82888.93,154045,211186.1,78608.99,11472.04,1231.188,1698570,0,3690,373445
MA72-2,Growth condition:Attached | time (h):72 | treatment:none | Sample source:Breast cancer cells,324007.6,672933.1,47442.32,303214.5,936.545,2679572,2742013,1232416,383866.6,6226842,293288,1044785,2772870,1655033,333119.4,992563.6,1934690,3545198,2428979,39112.14,4745568,953.9129,240459.4,47245.96,335306.1,26646.37,17295.95,12909.39,13825.26,46581.09,36298.91,94708.02,56842.22,1085587,307863.8,4458339,7076286,60616.25,26249.22,2633.391,43358.46,48066.85,158110.2,78779.16,107083.4,0,7785.438,5031480,88659.09,37063.82,1992749,2550.099,27234.78,286190.5,14314.24,49046.79,7873.693,48228.99,1837.103,42007.81,7103.946,223283.8,12991.07,0,29128.67,24107.26,447580,213885.2,98452.6,23355400,86917.39,39735.1,55689.47,17557.74,43070.95,34464.25,68055.74,35999.55,16581.13,3047.758,361101,1512,0,80579
MA72-3,Growth condition:Attached | time (h):72 | treatment:none | Sample source:Breast cancer cells,243304.1,665485.2,42771.47,287977.6,922.4122,2248010,2535750,1111816,343465.6,5593968,339069.1,924702.4,2580287,1212121,284953,953174.5,1642049,2876538,2040467,25131.33,4839802,3667.864,175219,44081.82,318954.3,32579.73,8968.07,12401.69,5783.202,46669.78,21595.59,60686.5,40615.54,758093.7,264705.3,3433137,4088472,40098,21707.97,3729.039,26197.52,29721.39,137490.5,50150.23,43409.13,0,2500.91,4625152,70901.31,24002.96,1508671,0,26507.68,161026.1,11298.52,46282.7,5047.893,50525.95,1034.031,43729.56,7434.155,187722.6,7616.641,0,21139.35,25410.2,452410.8,146243.5,92415.53,17134600,52398.59,24340.23,25121.84,6356.518,59065.56,29808.95,67994.43,33182.45,22155.5,2910.843,300703,0,0,76866
MS72-1,Growth condition:Suspension | time (h):72 | treatment:none | Sample source:Breast cancer cells,839424.9,1538338,174272.7,470036,25475.95,4011033,7062142,2323554,654449.5,18220970,320760.2,4273530,7858450,4630272,378527.3,1773926,486519.4,10734310,4264375,74657.12,7036294,34089.96,1849629,139672.9,635918.1,32459.75,48299.78,25187.05,58630.12,283651.7,48590.61,580047,192607.9,1944022,521174.3,33069010,18298480,471629.2,103226.5,13414.26,132837.2,52450.76,448186.4,434917.1,100348.2,0,17345.3,15168980,184347.9,121934.1,6581840,9000.913,32354.85,561271.7,10186.36,54435.59,4521.774,249831.5,13297.82,30663.12,3152.546,396988.5,35352.72,0,63284.97,35305.01,495955.8,357561.4,213324.5,40876940,300606.5,86703.66,100399,56797.38,77843.41,167911.1,145662.9,71679.45,14532.76,2443.578,13151560,0,29515,936796
MS72-2,Growth condition:Suspension | time (h):72 | treatment:none | Sample source:Breast cancer cells,278310.4,411072.6,50225.14,215851.8,18375.19,2046097,3031338,1183052,376707.2,5456220,112976.8,1521053,2898133,1705149,176726.1,636236.4,271976.9,3962869,2269375,45703.31,1155561,15763.81,133267,31724.65,98599.44,13589.29,11062.95,12539.15,27286.63,274469.3,27676.37,194460.2,84469.62,1484596,326095.2,18435050,7417568,219130.5,36927.67,4327.215,35842.72,27433.81,56766.26,38272.19,59591.76,0,7462.309,7629990,74694.12,39580.53,3073218,3009.539,21346.96,427725.7,2129.104,34560.8,2063.648,85715.07,1831.737,13363.72,764.9971,160191.6,18552.95,0,31544.08,48087.61,316816.3,133888.6,128300.5,21531390,201703.2,53341.62,62354.14,26035.85,51961.36,72864.76,99773.94,90660.01,12230.85,4955.744,5161714,2476,13579,281416
MS72-3,Growth condition:Suspension | time (h):72 | treatment:none | Sample source:Breast cancer cells,439148.1,693294.8,109504.9,325199.9,42488.88,2723627,4750626,1645845,587652.4,9603221,158677.2,2079177,4552558,2642655,253630.1,1075499,314270.5,5549564,3078604,46957.11,6799618,28914.03,635596.4,66830.27,567173.1,30532.53,13035.84,17565.01,50725.27,349004.2,30944.4,238204.6,116249.7,1744324,404504.8,31583150,9230395,378006.9,54717.09,7453.65,69283.84,36711.25,80328.59,58139.27,21498.63,0,10613.55,8369204,107087.6,54409.78,3618605,2836.812,32158.24,377236.5,4462.342,37817.5,2278.521,117008.3,1235.349,22682.34,2962.909,205146.1,20581.28,2348.096,31333.95,57626.07,504540.7,252114.8,163528.5,27478380,235885.4,43001.2,63343.42,49314.01,40620.13,112174.8,74863.84,41426.61,9528.281,2712.82,8128066,0,18446,499556
MA610-24-1,Growth condition:Attached | time (h):24 | treatment:10µM 68c091 | Sample source:Breast cancer cells,265623.8,556770.3,29848.69,215690.6,2494029,1022426,915660.2,870930.8,261369.3,4804564,258826.1,640192.9,1845032,903863.6,270428.7,306131.6,470840.5,1617447,955179.5,4374.363,1902759,16310.32,3067075,320190.9,431422.2,17101.07,11403.28,32999.73,24598.17,129337.4,22072.75,15255.09,21289.36,807753.5,63768.97,14034220,365941.6,173687.9,5775.208,0,15103.12,153974.5,117075.5,289533.8,362099.5,0,12567.27,3986661,107830.8,18695.69,1169012,3946.82,25129.59,76754.93,1209.615,95527.07,3839.317,25149.78,2443.014,9443.636,4012.664,164293.3,6521.069,7552.603,20128.03,28223.61,48575.33,52565.51,16467.54,17649060,55315.01,13265.75,52546.39,1658.117,100894.4,8001.37,53298.34,27852.61,41337.64,15165.01,NA,NA,NA,NA
MA610-24-2,Growth condition:Attached | time (h):24 | treatment:10µM 68c091 | Sample source:Breast cancer cells,309274.5,506491.7,21862.7,136965.2,1432465,500168.2,1075572,723849.8,197791,2783623,225232.8,462021.5,1378016,730438.9,231336,189782,436032,1706126,8779149,10763.23,1484169,4199.578,4663728,273132.7,237414.8,16340.19,2141.51,52422.87,18477.44,847061.7,95737.04,3985.661,42402,3816861,79394.6,10830200,639528.2,145024.9,7192.967,2076.933,23008.48,263975.1,89060.76,376037.4,355626.8,0,26498,3395590,69508.89,5250.366,881250.5,3662.285,4726.821,216483.2,1343.561,52287.93,2430.015,18076.15,7762.279,6022.092,1928.958,200857.1,4780.705,2973.83,12609.44,24018.38,34585.37,1319394,24595.15,12117230,784686.2,65025.41,111000.6,16104.41,67612.43,12426.55,32359.63,17721.48,15124.29,4487.521,NA,NA,NA,NA
MA610-24-3,Growth condition:Attached | time (h):24 | treatment:10µM 68c091 | Sample source:Breast cancer cells,209050.4,354514.2,13625.5,130828.9,2387241,475497.9,292019.2,827042.8,108111.7,2491989,177840.9,295774.9,983648.7,472892.2,208789.6,163964.3,415243,1152765,970492.5,6725.664,1321849,4882.12,1836376,205028.1,238649.3,10786.13,5068.333,24562.38,14065.04,192545.3,29152.67,5794.008,13033.68,792648.3,44758.22,6813310,296545.5,72458.98,1486.74,0,7250.472,116276.7,41745.51,135279.9,239390.1,0,3622.768,1766820,82981.56,3292.101,494944.6,2052.369,5572.894,51868.9,2057.432,82594.15,2290.466,18302.81,1481.033,15992.23,1198.224,286616.3,2152.393,7149.584,8829.593,26319.42,29567.37,125951.5,9442.665,7634530,79059.88,8369.476,49627.91,0,95842.3,6083.444,48172.5,37306.96,46791.7,15984.42,NA,NA,NA,NA
MAA10-24-1,Growth condition:Attached | time (h):24 | treatment:10µM AT0174 | Sample source:Breast cancer cells,308811,871337.8,69962.96,266742.2,2542069,1301312,1013576,844770.9,205993.1,7906528,239815.4,1142526,3457529,1253263,150871.4,402954.2,786717.8,3570807,1402986,24268.26,3276067,41899.69,8390767,870206.3,819957.8,20636.94,17033.23,52986.89,57072.75,209866,34887.95,40379.46,30606.69,1223399,153223.8,32511840,829871.8,453249,9713.12,1939.535,52291.58,83658.71,161210.7,262087.8,467589.5,0,15601.28,6563894,117789.6,34835.18,2234207,2099.883,28514.45,149560.4,9997.847,92160.44,0,74517.05,2630.928,15825.5,5339.796,316902.9,7433.775,3765.819,23440.82,35546.83,60357.04,185832.1,25069.31,38711010,110677.1,17203.7,51943.35,8677.926,113541.7,19523.22,58301.05,42125.98,48746.03,8956.587,NA,NA,NA,NA
MAA10-24-2,Growth condition:Attached | time (h):24 | treatment:10µM AT0174 | Sample source:Breast cancer cells,207349.3,728199.2,63302.73,191345.7,1898875,1087753,874523.3,835874.6,221027.5,7112376,292246,1157926,2897562,927161.5,99214.45,295469.5,799814.1,3253833,1398567,10173.59,3727953,47041.04,9474219,946401.2,803570,20438.14,11908.83,53334.67,33785.03,143974.4,7011.878,49722.17,32919.6,1056982,171999.3,28141590,1220010,392736.2,11463.25,6093.77,51379.44,35009.11,199965.2,73308.21,75693.91,0,3302.095,5547284,64650.42,27424.57,2365371,2032.088,19962.6,171668.2,5098.599,89899.49,2517.725,53211.53,6509.207,11132.5,1623.821,206946.2,10868.15,8402.085,29251.5,37804.36,52605.91,253625,23133.11,35439560,102147.8,16524.37,44621.78,2809.527,99961.84,20264.34,42733.24,43909.69,37260.42,11209.18,NA,NA,NA,NA
MAA10-24-3,Growth condition:Attached | time (h):24 | treatment:10µM AT0174 | Sample source:Breast cancer cells,236307.3,799826.3,34078.7,244811.7,1274987,1091046,1006716,858584.2,222604.1,4835638,205158.4,931290.5,1543847,964748.4,209214,319122.8,608360.4,2226982,1133992,19553.66,2886671,32632.13,3663729,389030.4,544782,19956.75,8048.881,40813.33,50722.54,161187.4,46403.56,24457.12,23449.01,798967.7,111869,21864050,659344.5,271564.6,10656.79,4253.443,20765.8,100593.1,101635.6,33981.43,74465.89,0,11343.49,3670898,67771.73,14510.8,1019203,0,42582.24,45337.68,1921.858,85439.71,5177.854,29848.51,1278.301,5832.022,3110.73,256947,7199.602,10273.87,14993.83,31224.86,62797.82,159859.1,17220.64,23210900,57983.56,7283.797,46992.36,1609.787,105259.3,11010.33,43312.92,34506.58,41525.98,13689.75,NA,NA,NA,NA
MAA1-24-1,Growth condition:Attached | time (h):24 | treatment:1µM AT0174 | Sample source:Breast cancer cells,224462.8,765283.8,31827.04,161367.1,1651486,936022.8,822484,728116.6,277755.7,4534232,211314.3,1342644,2948726,921973.7,148814.5,248361.9,1090120,2984318,1271880,18353.72,3534389,32807.46,8349266,644580,709396.6,23487.19,1681.083,51122.34,50221.04,317869.1,40933.88,32374.7,53713.21,1765087,140947.5,38365800,1112691,510917.6,7271.109,2330.161,50924.89,97213.44,102800,46397.38,64406.96,0,13326.86,5870690,70614.36,13493.88,2085412,2524.171,18238.64,456438.9,5729.079,48188.33,4117.016,49108.46,7864.561,20298.26,2470.856,115903.5,13114.53,0,27536.72,43635.98,49103.57,177236.6,23555.71,34873380,91913.12,12058.73,28911.88,2157.825,50022.88,23395.83,28244.26,16509.06,19885.69,3460.299,NA,NA,NA,NA
MAA1-24-2,Growth condition:Attached | time (h):24 | treatment:1µM AT0174 | Sample source:Breast cancer cells,300998.3,644573,68358.98,173692.1,1105698,1260255,1195171,763565.2,193626.3,13772170,261249.1,2646289,7637842,1071632,92261.71,308318.9,2210088,7396522,1591422,23645.34,4440560,140394.4,27535160,2459298,1345230,28756.62,15676.86,99564.9,76318.52,238837.9,17130.17,155083.3,98893.93,2315328,199641,68680650,2730556,949580.2,12491.15,19154.63,142942.8,31415.8,552599.3,1170945,271502.2,0,7924.715,8064088,102568.6,27496.12,6713492,9854.45,15894.72,803323.2,11509.24,60603.47,11694.91,241368.4,26019.96,42976.67,3724.564,359095.7,32255.38,0,76343.43,185026.4,60144.38,146732.6,56846.05,66426540,386560.2,48720.86,98387.21,12144.3,83003.45,65337.98,89762.56,22147.89,21348.36,2770.12,NA,NA,NA,NA
MAA1-24-3,Growth condition:Attached | time (h):24 | treatment:1µM AT0174 | Sample source:Breast cancer cells,242897.9,684938.8,47715.58,179712.1,1574587,1167070,967663,808375,230716.8,8032270,266123.6,1507141,3263282,889104.2,93081.28,328378.7,1021808,3496113,1210338,18552.59,3861832,44197.57,10606320,977841.6,899233.7,24020.42,16118.95,55362.58,65998.34,176799.6,18179.89,36621.41,46364.92,1675282,139369.5,43654160,1321234,586031.2,14357.01,4588.036,62392.94,70133.41,166723.1,87464.25,26366.19,0,4193.378,6863498,83755.93,29018.11,2453483,2917.142,20792.04,383555.1,9245.583,82259.04,6502.259,67601.13,3598.247,21890.19,1945.858,212504.2,10557.24,2812.822,30902.2,53999.18,67355.98,121283.2,26520.75,46011520,115063.4,16296.49,32745.59,5183.578,55218.53,15962.15,57551.71,21085.02,27600.55,11104.73,NA,NA,NA,NA
